cycle,bootstrap,component,similarity
0506,162,IC2,0.9801966384500183
0506,162,IC3,0.9816169920955128
0506,163,IC1,0.7898540968542507
0506,163,IC2,0.9891393796895862
0506,163,IC3,0.823514974691013
0506,164,IC1,0.6381670890650516
0506,164,IC2,0.9725798434415719
0506,164,IC3,0.8943583275369278
0506,165,IC1,0.5376936952329258
0506,165,IC2,0.9279275777613911
0506,165,IC3,0.8874767250868354
0506,166,IC1,0.7132686909928412
0506,166,IC2,0.8088891943817516
0506,166,IC3,0.9698521953308767
0506,167,IC1,0.7821560290090661
0506,167,IC2,0.9826632356685215
0506,167,IC3,0.9850582075961289
0506,168,IC1,0.7467507879497778
0506,168,IC2,0.9930357817719264
0506,168,IC3,0.9758741252065362
0506,169,IC1,0.8232134831317329
0506,169,IC2,0.9882632489601434
0506,169,IC3,0.8325633567377476
0506,170,IC1,0.9382960611559917
0506,170,IC2,0.9972197502633742
0506,170,IC3,0.9550135056856808
0506,171,IC1,0.9448267699717704
0506,171,IC2,0.9978341059459833
