cycle,bootstrap,component,A,G,AG
0506,97,IC3,0.1468278748493322,0.04859514228540474,-0.05060486729441503
0506,98,IC1,0.040468327865690434,0.026261716030760343,-0.03721878023680099
0506,98,IC2,0.06732793702613396,0.05254056095611699,-0.0626766842634016
0506,98,IC3,0.14513661119486523,0.03142334920090885,-0.025944400909111716
0506,99,IC1,-0.012501108934528653,-0.032984285487864154,-0.00036797938751715817
0506,99,IC2,-0.01593347587213835,0.06158647533862614,-0.038961744161608046
0506,99,IC3,0.10864619380512314,0.11052632416221254,-0.09367685752344296
0506,100,IC1,0.056615978044856796,0.015257783711420829,-0.07230280988783895
0506,100,IC2,0.047130439977985134,0.0033264092132735813,0.055234824599118534
0506,100,IC3,0.1217392004014747,0.10172872519481929,-0.04438145268307035
0506,101,IC1,0.07512025666963058,0.0660470878462239,-0.061287940864098896
0506,101,IC2,0.08962322089742465,0.034443152775816596,-0.019515472717561617
0506,101,IC3,0.1414179485351666,0.09162461697547543,-0.06491231129453476
0506,102,IC1,0.0762947613469802,0.03230561611917644,-0.06638853337499093
0506,102,IC2,-0.017676004689561122,0.061768392059852184,-0.020193536565500044
0506,102,IC3,0.14278124352298802,0.0881209097109997,-0.06905521934605842
0506,103,IC1,0.02261896503291031,0.07080777154574644,-0.15973096908014048
0506,103,IC2,-0.02106907358784872,0.03161723135113639,0.16265429327948425
0506,103,IC3,0.07720220411766258,0.07564741365324193,-0.05953041500697304
0506,104,IC1,-0.03432587873232844,0.052085578091809547,-0.07927188744062585
0506,104,IC2,0.10404650666846375,0.03531152415067151,0.054778416297351015
0506,104,IC3,0.07222185298048521,0.03688288393411447,-0.04117942959742624
0506,105,IC1,0.018455535033570433,0.02954195692961839,-0.014797828038556476
0506,105,IC2,0.058817967450502114,0.028363933525382523,-0.10388303143412242
0506,105,IC3,0.10389509597173678,0.028514327394586387,0.0013596592223060755
0506,106,IC1,0.03924605035003806,0.05182630985320322,-0.07464877520937424
0506,106,IC2,0.010506880023286652,0.005741034586533527,-0.02874601859637313
0506,106,IC3,0.031203557998926323,0.05933017230908688,-0.021761138371612587
0506,107,IC1,0.001521453479107114,-0.06539499912592002,0.048793529816615513
0506,107,IC2,0.11265942350406985,0.07316652464377854,-0.08827910856469222
0506,107,IC3,0.12633662453008912,0.06671319355855593,-0.08369949076910244
0506,108,IC1,0.04798651598474941,0.09668249845968738,-0.08434422424447306
0506,108,IC2,0.13005619280488956,0.006473645347792822,0.022561258284244882
0506,108,IC3,0.1555644328385582,0.05774747256597547,-0.07895381986659672
