population,adjustment,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
2009-2018,X3,PHQ9_TOTAL,all_PCs,A_OI_PC1_FZ,-0.181103786951995,0.080864187688603,-0.343159240444255,-0.0190483334597364,0.0291791546066962,0.05835830921339239
2009-2018,X3,PHQ9_TOTAL,all_PCs,A_OI_PC2_FZ,0.0415361682631315,0.0441442081701971,-0.0469308018327821,0.130003138359045,0.350860278994619,0.5262904184919286
2009-2018,X3,PHQ9_TOTAL,all_PCs,A_OI_PC3_FZ,0.203916232621204,0.0670910484345592,0.0694627670005261,0.338369698241882,0.0036243123293108,0.0115666250139561
2009-2018,X3,PHQ9_TOTAL,all_PCs,G3_OI_PC1_FZ,0.151231390212688,0.050117369319827,0.0507939376751129,0.251668842750262,0.0038555416713187,0.0115666250139561
2009-2018,X3,PHQ9_TOTAL,all_PCs,G3_OI_PC2_FZ,0.0436025595337681,0.0682617391873277,-0.0931970227828401,0.180402141850376,0.525633199186391,0.6307598390236692
2009-2018,X3,PHQ9_TOTAL,all_PCs,G3_OI_PC3_FZ,0.0150381882629774,0.0436265452967213,-0.0723913622518445,0.102467738777799,0.731632546524472,0.7316325465244718
2009-2018,X3,PHQ9_TOTAL,union,A,0.202091852770937,0.180600098990113,-0.160146072532494,0.564329778074367,0.268185322611882,
2009-2018,X3,PHQ9_TOTAL,union,G_HBA1C,0.0288883616393284,0.247385941085936,-0.467304998991729,0.525081722270386,0.907480158536986,
2009-2018,X3,PHQ9_TOTAL,union,A_OI_PC1_FZ,-0.12764309402108,0.0935337457191311,-0.315248029924307,0.0599618418821467,0.178121582216016,0.532752670180912
2009-2018,X3,PHQ9_TOTAL,union,A_OI_PC2_FZ,0.0524659526104796,0.0467073444938073,-0.0412171165599066,0.146149021780866,0.266376335090456,0.532752670180912
2009-2018,X3,PHQ9_TOTAL,union,A_OI_PC3_FZ,0.202915567581896,0.0671191189997559,0.0682916634388723,0.33753947172492,0.0038485279669487,0.0230911678016922
2009-2018,X3,PHQ9_TOTAL,union,G3_OI_PC1_FZ,0.129987920286394,0.197223364692551,-0.265592053628806,0.525567894201593,0.512691609881478,0.6327918497305823
2009-2018,X3,PHQ9_TOTAL,union,G3_OI_PC2_FZ,0.0493957867905963,0.0776310563532975,-0.106312393602326,0.205103967183519,0.527326541442152,0.6327918497305823
2009-2018,X3,PHQ9_TOTAL,union,G3_OI_PC3_FZ,0.0150722336590417,0.054702324436475,-0.0946467345139967,0.12479120183208,0.783979068390452,0.783979068390452
2009-2018,X3,COGAFF_SUM,all_PCs,A_OI_PC1_FZ,-0.0505384625541065,0.0480956518852131,-0.146924302813559,0.0458473777053455,0.297949914464315,0.5404372327080225
2009-2018,X3,COGAFF_SUM,all_PCs,A_OI_PC2_FZ,0.0244611575291025,0.0265158489794875,-0.0286777912927222,0.0776001063509271,0.360291488472015,0.5404372327080225
2009-2018,X3,COGAFF_SUM,all_PCs,A_OI_PC3_FZ,0.09441295176409,0.0437069580118946,0.0068222505669148,0.182003652961265,0.0351366646142591,0.2108199876855546
2009-2018,X3,COGAFF_SUM,all_PCs,G3_OI_PC1_FZ,0.0527395851272181,0.0294691463579696,-0.0063179038994551,0.111797074153891,0.079015466636734,0.23704639991020202
2009-2018,X3,COGAFF_SUM,all_PCs,G3_OI_PC2_FZ,0.0271001736158839,0.0437928415841781,-0.0606626421062962,0.114862989338064,0.538585348545234,0.6463024182542808
2009-2018,X3,COGAFF_SUM,all_PCs,G3_OI_PC3_FZ,0.0114181186668593,0.0258926145750308,-0.0404718404979476,0.0633080778316663,0.660956280046341,0.660956280046341
2009-2018,X3,COGAFF_SUM,union,A,0.0451981262502817,0.11030089031687,-0.176037442782776,0.26643369528334,0.683625372243014,
2009-2018,X3,COGAFF_SUM,union,G_HBA1C,-0.0420533191541963,0.151578110367836,-0.346080507002333,0.26197386869394,0.782524178212062,
2009-2018,X3,COGAFF_SUM,union,A_OI_PC1_FZ,-0.0383167268111314,0.0602183273595915,-0.159099395757372,0.0824659421351095,0.527321517677204,0.7909822765158061
2009-2018,X3,COGAFF_SUM,union,A_OI_PC2_FZ,0.028025253209553,0.0274253569895354,-0.0269830467423706,0.0830335531614766,0.311482495720982,0.7909822765158061
2009-2018,X3,COGAFF_SUM,union,A_OI_PC3_FZ,0.0944820736445273,0.0436812627516287,0.0068685558100204,0.182095591479034,0.0350727981123802,0.21043678867428117
2009-2018,X3,COGAFF_SUM,union,G3_OI_PC1_FZ,0.0836874839719229,0.118870179100727,-0.154735901722079,0.322110869665924,0.484499573069729,0.7909822765158061
2009-2018,X3,COGAFF_SUM,union,G3_OI_PC2_FZ,0.0180196688813729,0.0505468556146911,-0.0833644843437043,0.11940382210645,0.722885716860431,0.8674628602325172
2009-2018,X3,COGAFF_SUM,union,G3_OI_PC3_FZ,0.0040333603887198,0.0329660475786069,-0.0620881575235293,0.0701548783009688,0.903085439116018,0.903085439116018
2021-2023,X3,SOMATIC_SCORE,all_PCs,A_OI_PC1_FZ,-0.074272583353313,0.100224487638018,,,,
